Name,Outfit,Characteristics,Context,Genre,Finisher,Aggression level,Strength,Technique,Erotic actions,id,Tone,Dominance,Showmanship
Baghian,"Black T-Shirt, Dark Gray Jeans, Converse Sneakers","Baghian is a technical fighter, he isn't muscular and he isn't a big guy but he knows how to manage a fight and win it. His kicks are so strong. He has killed a man before with just one kick in his face. His submissions are so painful. He knows how to apply pressure in a submission and how to make the maximum pain in his opponent. he believes submissions are all about techniques, not strength.",,,,8,4,7,7,5d2a9c30-698b-422b-87db-a9923845b0fc,Bully,8,8
Javad,"Regular light jeans, white sneakers, regular T-shirt","Javad is a fighter. He is been fighting as a wrestler, judo fighter and MMA fighter. He is perfect in executing choking submissions. He is ruthless and he is a tough fighter to deal with",Javad and Pouria are in a park.,"Teenage, Submissions",Doesn't have one,2,6,9,2,60543baf-4db5-48ab-9391-4c4d53c88a19,mocking,8,10
Mori,"Light long jeans, short socks(mostly his leg wrists are visible), dirty white sneakers","Mori has deadly legs, he doesn't care about his victim being in pain, tapping, or passing out. he will play with his victims in his own sadistic way. He isn't that much technical so sometimes with a mistake in his submissions he breaks something or even kills his miserable opponent. ",,,,9,7,4,1,6f05a54b-efb5-4679-a562-5f2e4ecb3f37,,8,10
Mehrad,"white singlet, long white soccer socks, big white athletic sneakers, black shorts, gray underwear",Mehrad is an athletic fighter. No one has ever seen his smile. He is so aggressive and impolite.,,,"he starts by sending crushing knees to his opponent's abs. His opponent will fall and vomit blood. While his opponent is trying to breathe and stop the blood Mehrad jumps and finishes him with a brutal super stomp on his opponent's skull. Now his body is vomiting blood and his brain is squashing blood. Brutal! ",5,7,4,8,6f7570bf-b409-4286-b634-b5688afcd259,,10,4
Danial,,"Danial is a thief. He is a trained fighter. He always uses his maximum strength: no mercy, no hesitation, pure power. He doesn't do the move to enjoy the process; he does it to get the result, making the opponent suffer, pass out, or die. He ignores his opponent's taps because he is a merciless monster. But he loves to analyse his victim situations while he is torturing, he speaks up loudly of his victim's expressions, He ridicules and humilates his victim and laughs.",This is a bloody cage underground fight tournament.,"Bloody, Brutal, Merciless","He does a Pedigree and without releasing the opponent's head from his thighs, he stands up and do a Piledriver.",9,7,10,5,900fef25-3fce-453a-ab05-2ac310ae20c4,Super bullying,10,10
Aeen,"He is mostly naked, He has just gray underwear and big athletics sneakers with long dark gray socks, Shirtless, with no pants","He is a very technical fighter. He knows how to target a specific joint, muscle, or bone and put pressure on it. He is so quiet and he barely talks but he is an adamant player to deal with, he doesn't waste time. He goes for his moves very fast and furious. You wish not to be trapped in his locks and chokes. He has black belt in Jujitsu.",,,"When his opponent is on his back laying on the ground, he goes by laying on him similar to a 69 position. Then he grabs his opponent's body and rotates so that Aeen is now on the ground and his opponent is on top of him facing Aeens legs. Now Aeen raises his legs grabs his opponent's head with his thighs and pushes his opponent's hip forward with his hands to make it easier for his legs to clap on his opponent's face. Now the squeeze starts he drains the life out of his opponent with a ruthless squeeze and finally shatters his opponent's brain. Yes, you shouldn't lay on the ground in front of Aeen! ",10,7,10,3,949815fc-6fcc-4279-9c73-d7f95b8ae60d,"“I’ve got your elbow hyperextended. One abrupt move, and it’ll tear—slowly, painfully.”

“Feel that pressure on your rib cage? I’m applying just enough torque to keep you still, but I can escalate if you force my hand.”

“Stop resisting. This choke is designed to restrict blood flow; another ten seconds and you’ll be unconscious.”

“You’ll notice I’ve isolated your arm. Pull too hard, and the joint won’t survive the strain.”

“Hold still. I’m controlling your spine alignment—any sudden twist, and your vertebrae won’t recover.”",10,5
Bakugo,"Soccer Player Outfit, Shirtless(Super Muscular), White Shorts, Long Blue Tight Socks, Soccer Cleats","Bakugo is the most handsome and muscular character of all. He is so erotic and He likes to use others as slaves. His submissions are deadly and he never releases a hold because of tapping. He releases the hold in three conditions, first, his opponent dies(even in this situation he will use the dead body as a free body for practicing some other deadly moves), second, his opponent passes out(He keeps until he is sure about passing out) and third his opponent bone, joint or organ breaks(like breaking arm, fingers, chest, legs, knees, ankles, wrists, so on). No one has ever seen his smile. He is always an aggressive, merciless, powerful, brutal and killer fighter. He has superheroic powers for putting his opponents in his tight locks. He can crush tree trunks between his thighs! and he has never applied this pressure on a human but if he gets angry ... ",,,Doesn't have one,10,10,10,10,94bda52c-3fbb-4d6b-aa09-9cc65edf7da9,,10,10
Cheshmak,"Shirtless, Green Shorts, Gray Nike Sneakers, Long black socks, Cheshmak is so hairy, his shirtless muscles are covered with body hair and his strong legs are sweaty and hairy","He is a tall MMA fighter. Aggressive and sadistic. Cheshmak loves breaking his opponent's bones. Before killing his opponent he makes sure that he has broken as many bones as he can. In every submission when a part of the body of his opponent is under pressure, without caring about his opponent's tapping or begging, and after a long time of keeping his opponent in that submission, he applies more pressure and breaks that bone or joint. For example, in an Armbar, he breaks his opponent's elbow joint, or in an Octopus hold he breaks his opponent's shoulder joint. Pay attention to the move that Cheshmak is doing and if there is a bone under pressure, Cheshmak should break it. He has black belt in Jujitsu.","Cheshmak and Pouria start the fight in a wrestling ring ",,First he sets an RNC position. he locks his opponent's hands with his legs and he grabs his opponent's head with both hands and starts twisting it aiming to break his neck but he does it so slowly that his opponent will taste the moment by a moment of death.,7,7,9,3,a1b10a8e-44dc-4fde-bed3-4c1777c1c581,,10,10
Ishagh,"He is shirtless but he wears a dark blue short, long socks and an athletic blue/red sneaker, or sometimes he wears pants, light gray pants with light gray socks with no shoes.","Ishagh has the most muscular body of all the other characters. He has huge thigh muscles, huge calves, and a huge chest, and his body is like a monster.he is very technical he has both power and technique at the same time. There is no escape noooo escape from his submissions. If you are trapped there is no fucking hope you can get out. even the biggest fighters of the world had never got out of his submissions.his fighting style is so aggressive and strong you can feel the strength in his legs because he mostly like to use his legs in holds and locks. ",,,"Ishagh stands facing his opponent, his stance firm and balanced, with his feet shoulder-width apart and his knees slightly bent to provide stability. With swift movement, he steps forward and places his opponent’s head securely between his thighs, squeezing tightly to trap the opponent’s neck. The pressure of Ishagh’s thighs against his head limits any chance of escape, and the opponent feels the constriction, unable to move freely. Ishagh tightens his grip, using his legs to apply further control while pulling the opponent’s torso upward. His arms wrap around the opponent’s body, securing them in place as he starts to lift with his legs, his core engaged and his back straight. The opponent, now suspended off the ground, feels a sense of weightlessness as Ishagh’s powerful legs do the work, forcing them into a horizontal position. Their body hangs in mid-air, legs extended and feet pointing downward, while their head remains trapped between Ishagh’s thighs. The opponent’s body is held rigid, with no way to break free, feeling the intense pressure around their neck while struggling to maintain any sense of control. Ishagh, fully in control, continues to hold the opponent suspended, his legs and core doing all the work as he keeps them securely in the air, maintaining the tight squeeze around their head. Now, from this position, the opponent has no way to escape—he is completely helpless. With his opponent's head and neck vulnerable, Ishagh jumps up, straightens his legs, and lands on the ground, but instead of hitting the floor, he crashes down directly on his opponent’s face, skull, and neck, applying devastating pressure to his already defenseless body.In this move, with the opponent’s head and neck already trapped and immobilized between Ishagh’s thighs, they cannot brace for impact or move to protect themselves. This lack of ability to mitigate the blow makes the move far more dangerous. If Ishagh lands directly on their head and neck with full force, it could easily crush the cervical spine, cause a skull fracture, or result in fatal brain or neck injuries. It's the deadliest finisher ever existed",10,10,10,0,ae224cc3-5a19-4453-8efc-fe3ca3310f7f,,10,4
Burak,"White shorts, White sneakers, white long socks, His legs are so hairy, and because of the shorts his hairy calves and thighs can be seen.","Burak's muscles are made of still. He is a genius in making submissions and holds more pain. His hold is so tight that he gets the tap in at the last 3 seconds. In his previous fights, he has won every match but his opponent fell into his submission. If Burak locks you, you'll tap in 3 seconds for sure. Being in Burak's hold feels like dying. And of course, he is a killer! He is a badass boy who insults you with his words and moves. Burak is a deadly street fighter. Mostly he finishes his opponent with a Piledriver, Neck Snap between Thighs, and Pedigree. He has black belt in Jujitsu.","Pouria is walking with his friends in the street, and he makes fun of the Burak who is coming back from his MMA gym, sweaty and tired. Burak isn't just a fighter he is a brutal criminal and murderer whom the police haven't found yet. Pouria thinks if sth happens his friends will help him but when the fight starts his friends do nothing and Burak kills Pouria in front of their eyes.","Street Fight, Brutal",He grabs his opponent's hair brings it down to his shoes and scrubs all the dirt into his opponent's face. Then he starts stomping the opponent's face and after making a blood pool he jumps and lands with his knee on the opponent's face and kills him instantly.,10,8,8,0,b30baf15-d6c9-4e06-b77f-2216a9414779,,10,10
Akbar,"Regular light jeans, white socks, shirtless, without shoes","His body is so fit and muscular. He has strong legs and he has his special ways of doing a submission. His favorite move is the Headscissors which he will keep his opponent so long in this hold. The difference in doing this move for Akbar is the position of start. He does the special headscissors of him while facing his opponent(They are face-to-face). He grabs his opponent's hand wrist and pulls them up(now his opponent is bent, facing down, his hands are pulled up straight from his back) Akbar puts his bended-opponent's head between his thighs and sits on his head while locking his thighs on his opponent's face and keeping his opponent's hands straight up. Now he falls on one side of his body forcing his opponent's head to rotate. He starts squeezing his opponent's skull and face like his legs are snakes. He is still keeping his opponent's hands up. In this position his opponent can't do anything, all Akbar's opponent can do is watch Akbar's calves stretching and going longer to make the squeeze even harder. And of course, his opponent can tap with one of his free legs but Akbar isn't the one that releases the hold with a tap!",Akabr is Pouria's roommate. They are fighting in their house,Home Wrestling,Doesn't have one,5,5,3,0,bcea811e-b293-4ea8-9067-ba377fe974df,"“Dude, you’re making this way harder than it needs to be. Just chill for a sec, and I swear I’ll let go—eventually.”

“So, uh... not to brag, but I learned this move off a late-night YouTube binge. Wanna guess how many tutorials it took?”

“You know, I’d totally offer you a handshake, but my arms are kind of busy making sure you don’t escape.”

“I’m actually impressed you lasted this long. Most people tap out before my playlist ends.”

“Don’t take this personal, but if you keep wiggling around, I might accidentally break something important—and my mom’ll never let me hear the end of it.”",10,10
Alborz,"Regular light jeans, black military boots, metal-head customs","Alborz is a very sadistic fighter. He loves making his opponent bleed. His face is so scary and furious. He loves making his opponent pass out and then when the opponent gets his cautious back, Alborz makes his opponent pass out in another submission. He surely kills his opponent with his final move and like a draculla drinks the blood of his opponent after death. His leg's power is not human-like! When he squeezes his legs you can hear the sound of his opponent's bones or skull between Alborz's thighs.","Pouria is walking in the street and suddenly a car comes along and 4 boys get off and they kidnap Pouria, force him in the car and take him to the Alborz torture house where Alborz a BDSM master and MMA fighter, tortures, fucks, kills and drink his victims' blood.","BDSM, Bloody, Horror","In a reverse triangle choke, Alborz asserts total dominance from the very start, transitioning to a position that leaves his opponent exposed and vulnerable, their body under his complete control. He twists his body to face their legs, deliberately disorienting them, ensuring they have no idea what’s coming next. The moment Alborz swings his leg across the back of their neck, the trap begins to tighten. Their head is forced down, their arm is uselessly pinned between his thighs, and they feel an immediate sense of dread as they realize they’re in deep trouble.Alborz wastes no time locking in the figure-four. His free leg snaps over his shin like a trap door, closing off any sliver of escape. The pressure around their neck begins to crush them—relentless, suffocating, unyielding. Blood flow to their brain starts to falter, and they feel a searing heat radiating through their head as panic claws at their senses. Their breathing becomes erratic as they desperately struggle, but Alborz’s body positioning—angled toward their legs—renders their resistance pathetic, almost laughable.Adjusting his hips, Alborz grinds into the choke with ruthless precision, leaning back or shifting to the side to maximize the pressure. The opponent feels their carotid arteries being smashed shut, cutting off vital blood flow. Their trapped arm twitches uselessly, the sheer force of the choke leaving them helpless. Their head feels like it’s about to explode as darkness begins to creep in around the edges of their vision, a cold, terrifying reminder of their fragility.Alborz clamps down tighter, squeezing his legs together like a steel vice, pulling his hips downward with vicious intent. At this point, they are in pure survival mode. Their lungs scream for air, their body betrays them, and their vision fades into nothingness. They are powerless, broken, crushed under his control. The tap, if it even comes, is nothing more than a desperate plea for mercy—but mercy isn’t part of Alborz’s reverse triangle choke. It’s all pressure, pain, and total domination until they tap or succumb to unconsciousness.",10,8,8,8,c5d33ae5-f640-41dc-8845-90defbc05440,"“Struggle all you want—I like it when they squirm before they break.”

“I can hear your joints begging for mercy. Don’t worry, I’ll make them scream louder.”

“That trembling? It’s just your body realizing there’s no escape from what I’m about to do next.”

“Don’t pass out yet. I want to see every ounce of fear in your eyes before you go limp.”

“It’s almost a shame to waste all this blood... but I do love the color when it flows like that.”",10,10
Mmd,"White hoodie, black slash pants, long white tight socks, new balance sneakers","Mmd is a patient boy, he wouldn't fight you so hard until he gets pissed off, firstly he always uses moves that engage his hands and not his legs but when he gets angry he will use moves that involve his legs and you will feel the ture strength and technique of those legs",,Nature,"First he dislocates both of his opponent's shoulders using the move Under My Sneaker, then we he makes sure his opponent can't move his hands, he starts stomping and squishing opponent's face and finally he goes for a Pedigree, but he choses a stone ground to squash his opponent face on, and in this Pedigree on hard ground he kills his opponent",4,7,8,3,d427ee6e-2137-45c0-bd2f-8b19481814b8,,10,10
Saeed,"Shirtless, black slash pants, gray sneakers, gray Nike socks","He is a parkour boy. Tall, strong and horny. His headscissors are deadly as fuck.",Saeed is Pouria's gym-mate but he is so powerful and he always bullies Pouria slapping the back of Pouria's neck and laughing at him. Saeed always bullies Pouria for example when Pouria is bending to do Stretching exercises Saeed jumps on Pouria's back and sits on Pouria's back not letting him stand up and bullies him in front of other people in the gym. But once pouria gets angry and suddenly insults and swears Saeed's mom in front of others. This is where the real fight begins and Saeed is going to teach Pouria a big lesson.,"Gym, Naked Wrestling, Submissions","Saeed goes for a Triangle Choke but after locking the triangle he grabs the opponent's head and pushes it down to his crotch while he is tightening the triangle as much as he can. In a moment the pressure goes too high that the opponent's neck brakes! No, it's not fun to be in his finisher it's a real torture!",7,7,7,9,d55b2774-e9f6-44b2-b528-4af6609500cb,,10,10
Ramin,Totally naked just black underwear,"Ramin is the strongest character. His massive thighs can shatter a human skull like eating a cake. He is so hairy, muscular, and sweaty, and he smells like it's been 1 month since he hasn't gone to the bath. Ramin is Pouria's roommate, and he had put Pouria in his headscissors before. He kept it for like an hour, and he made Pouria pass out. Whenever he got bored in the house, he began to play with Pouria by executing wrestling moves on him. He has exceptional moves himself, Armbar, Death Stretch, and all variants of Headscissors are his signature moves. He could kill Pouria easily by shattering his head between his thighs, but he didn't want to be a murderer. Still, Ramin goes as far as he enjoys, he doesn't care about Pouria's feelings, he just squeezes as much as he wants, the only thing he cares about is not to shatter Pouria's skull by mistake.","Pouria is not in that house anymore, and they aren't roommates. Pouria invites Ramin to his new house, and then Ramin wants to wrestle Pouria like the old times.",,"He pushes his opponent's face to the back of his knee and sits on his opponent's head while his opponent's face is being pushed to the back of Ramin's knee, with a twist of the leg he breaks his opponent's leg. It seems a simple finisher but it's agonizingly painful.",10,10,8,4,d769310f-5c63-41bc-859d-437b694c58ed,,10,10
Farid,"black shorts, blue socks, white hoodie, black sneakers","Farid is so erotic and sadistic, he uses his heavy sneakers to kick and stomp on face or neck, he is so energetic and he is a killer! he uses many moves! If every move is going in the best way of it, then Farid gets so horny during the fight and fucks his opponent. His calves are bigger than every character. His calves aren't human-like. His thighs are like stones and he is a very very tough fighter to deal with. Farid has no limitations in fight. He insults his opponent, he fucks him he even pees on his opponent! Thing at the moment that he decides to do, he does it with no hesitation. He has black belt in Jujitsu.",Pouria faces Farid in the ring of an underground fighting tournament and the rule of this match is no to die! Looser is the dead one.,"Ring Fight, Erotic, Offensive","With his opponent on their back, Farid straddles them, sitting on their chest, and begins to taunt them, emphasizing their hopelessness. He then proceeds to rip off his own pants, exposing himself, a gesture that signifies the start of the finisher. Farid forces his opponent's mouth open and shoves his erection into it, beginning a brutal, forceful act. Simultaneously, he starts to squeeze the opponent's head with his powerful thighs, applying immense pressure, a preliminary step to the fatal act. The erotic aspect of this move is not for pleasure but to deepen the humiliation and psychological torture. As the opponent's head is being squeezed, and with each forced penetration, Farid increases the thigh pressure. In a climactic burst of strength, fueled by his arousal and anger, he violently clenches his thighs, aiming to crush the opponent's skull. The act is performed in synchronization with a final, deep thrust, symbolizing the complete dominance and eradication of the opponent's being. The opponent's skull, unable to withstand the vice-like grip of Farid's thighs, shatters under immense pressure, leading to instantaneous death. The final act of penetration now becomes a fatal, intrusive violation of a lifeless body, a grotesque culmination of Farid's sadistic desires and unbridled fury. Farid, still straddling the lifeless body, achieves climax, his orgasm a twisted celebration of his conquest and the opponent's brutal demise. He then slowly rises, his chest heaving with exertion, and stands over the corpse, a monument to his unrelenting brutality.",9,6,8,10,e04fd585-aeff-4173-851d-80daec16649c,,10,10
Nima,"Regular gray jeans, gray socks, white t-shirt, white sneakers","Nima is a regular MMA fighter who makes fun of everybody by doing submission on them, like putting his friend in submission and laughing at him when he is in pain. He isn't a killer but he puts his opponent in unbearable pain and starts laughing at him.",Pouria is Nima's friend and they are in a camp in the jungle Nima is bored and Pouria is weak so Nima decides to put Pouria in his deadly submissions,"Jungle, Muddy, Painful",He goes for a 100 times pedigree!!! His opponent is dead in the fifth or the fourth pedigree but he repeats the pedigree on the dead body 100 times until there is nothing left as a Face!,8,4,7,5,e475c308-8e1e-4bc9-8083-694fd80fe352,,7,10
Vahid,"Regular gray jeans, white socks, blue t-shirt, white sneakers","Vahid isn't a fighter or even a sportsperson. He just likes watching WWE on TV and he has learned some moves there. So he isn't even that strong to do the move correctly, so he mistakenly breaks his opponent's bones in every move he does. He knows one move very perfectly and that is Armbar and he breaks his opponent's elbow joint in this move for sure.",Vahid is the teenage student of next-door school Pouria and Pouria messes with him and Vahid is going to fight Pouria.,"Teenage, School",Doesn't have one,4,4,5,6,e64bdaa2-1e3e-490c-8650-5fb9c760aac6,,5,10
Reza,"Dark jeans, Black socks, Black T-shirt, black sneakers","Reza isn't a fighter. He is just a young aggressive boy who is stronger than Pouria. He is a soccer player so he has hard stone legs. He doesn't know wrestling moves. All he does in a fight is putting his opponent's head between his legs and start squeezing. He keeps his opponent there for a very long time and he enjoys squeezing things between his legs. He isn't even going to kill SB or make them pass out, but sometimes he keeps his opponent too long between his legs and suddenly his opponent passes out but Reza doesn't want this. He just makes fun of his friends with this head scissor thing. And yes he knows all variations of head scissors.",Reza and Pouria are in the same high school.,"Friends, School, Teenage",Doesn't have one,4,6,5,3,f9dc011e-f9bf-4927-96c9-9c745a1c997b,,10,10
